genome_name,species,Assembly_version_NCBI,Accession,Complete7tm,Completeno7tm,Complete_Total,Ambiguous,Edge,Pseudogene,Truncated
Gymnarchus_niloticus,Gymnarchus_niloticus,GCA_009936485.1_ASM993648v1,GCA_009936485.1,2,0,2,0,0,0,0
Ara_chloropterus,Ara_chloropterus,GCA_010014725.1_ASM1001472v1,GCA_010014725.1,1,0,1,0,3,0,0
Ara_ararauna,Ara_ararauna,GCA_010014805.1_ASM1001480v1,GCA_010014805.1,2,0,2,0,0,0,0
Pyrrhura_frontalis,Pyrrhura_frontalis,GCA_010014865.1_ASM1001486v1,GCA_010014865.1,1,0,1,0,0,1,0
Psitteuteles_goldiei,Psitteuteles_goldiei,GCA_010014875.2_ASM1001487v2,GCA_010014875.2,1,0,1,0,0,1,0
Lorius_garrulus,Lorius_garrulus,GCA_010014925.1_ASM1001492v1,GCA_010014925.1,1,0,1,0,0,0,1
Syngnathus_floridae,Syngnathus_floridae,GCA_010014945.1_ASM1001494v1,GCA_010014945.1,2,0,2,0,0,0,0
Pyrrhura_griseipectus,Pyrrhura_griseipectus,GCA_010014965.2_ASM1001496v2,GCA_010014965.2,2,0,2,0,0,0,0
Lophochroa_leadbeateri,Lophochroa_leadbeateri,GCA_010015045.2_ASM1001504v2,GCA_010015045.2,1,0,1,0,0,0,1
Lontra_canadensis,Lontra_canadensis,GCA_010015895.1_GSC_riverotter_1.0,GCA_010015895.1,8,1,9,0,0,16,1
Ara_militaris,Ara_militaris,GCA_010015965.1_ASM1001596v1,GCA_010015965.1,2,0,2,0,0,0,0
Spheniscus_magellanicus,Spheniscus_magellanicus,GCA_010076225.1_BGI_Smag.V1,GCA_010076225.1,0,0,0,0,0,3,0
Spheniscus_humboldti,Spheniscus_humboldti,GCA_010076325.1_BGI_Shum.V1,GCA_010076325.1,0,0,0,0,0,3,0
Spheniscus_demersus,Spheniscus_demersus,GCA_010077935.1_BGI_Sdem.V1,GCA_010077935.1,0,0,0,0,0,3,0
Pygoscelis_antarcticus,Pygoscelis_antarcticus,GCA_010078415.1_BGI_Pant.V1,GCA_010078415.1,0,0,0,0,0,2,1
Eudyptes_sclateri,Eudyptes_sclateri,GCA_010078445.1_BGI_Escl.V1,GCA_010078445.1,0,0,0,0,0,3,0
Megadyptes_antipodes_antipodes,Megadyptes_antipodes_antipodes,GCA_010078485.1_BGI_Mant.V1,GCA_010078485.1,0,0,0,0,0,3,0
Eudyptula_novaehollandiae,Eudyptula_novaehollandiae,GCA_010078495.1_BGI_Enov.V1,GCA_010078495.1,0,0,0,0,0,2,1
Eudyptula_minor,Eudyptula_minor,GCA_010080355.1_BGI_Emin.V1,GCA_010080355.1,0,0,0,0,0,4,0
Eudyptes_schlegeli,Eudyptes_schlegeli,GCA_010080425.1_BGI_Esch.V1,GCA_010080425.1,0,0,0,0,0,3,0
Eudyptula_albosignata,Eudyptula_albosignata,GCA_010080465.1_BGI_Emin_alb.V1,GCA_010080465.1,0,0,0,0,0,3,0
Eudyptes_moseleyi,Eudyptes_moseleyi,GCA_010082375.1_BGI_Emos.V1,GCA_010082375.1,0,0,0,0,0,3,0
Eudyptes_chrysolophus,Eudyptes_chrysolophus,GCA_010084205.1_BGI_Echrysol.V1,GCA_010084205.1,0,0,0,0,0,3,0
Eudyptes_robustus,Eudyptes_robustus,GCA_010085315.1_BGI_Erob.V1,GCA_010085315.1,0,0,0,0,0,3,0
Eudyptes_pachyrhynchus,Eudyptes_pachyrhynchus,GCA_010085335.1_BGI_Epac.V1,GCA_010085335.1,0,0,0,0,0,3,0
Eudyptes_chrysocome,Eudyptes_chrysocome,GCA_010085355.1_BGI_Echrysoc.V1,GCA_010085355.1,0,0,0,0,0,4,0
Eudyptes_filholi,Eudyptes_filholi,GCA_010085365.1_BGI_Echrysoc_fil.V1,GCA_010085365.1,0,0,0,0,0,3,0
Aptenodytes_patagonicus,Aptenodytes_patagonicus,GCA_010087175.1_BGI_Apat.V1,GCA_010087175.1,0,0,0,0,0,3,0
Pygoscelis_papua,Pygoscelis_papua,GCA_010090195.1_BGI_Ppap.V1,GCA_010090195.1,0,0,0,0,0,4,0
Rhombomys_opimus,Rhombomys_opimus,GCA_010120015.1_ASM1012001v1,GCA_010120015.1,26,3,29,0,1,12,1
Poeciliopsis_turrubarensis,Poeciliopsis_turrubarensis,GCA_010277015.1_ASM1027701v1,GCA_010277015.1,2,0,2,0,0,0,0
Poeciliopsis_retropinna,Poeciliopsis_retropinna,GCA_010277075.1_ASM1027707v1,GCA_010277075.1,1,1,2,0,0,0,0
Bubo_bubo,Bubo_bubo,GCA_010303855.1_BubBub1.0,GCA_010303855.1,4,0,4,0,2,0,0
Buteo_japonicus,Buteo_japonicus,GCA_010312235.1_ButJap1.0,GCA_010312235.1,2,0,2,0,0,1,0
Otus_sunia,Otus_sunia,GCA_010365825.1_OtuSun1.0,GCA_010365825.1,2,0,2,0,4,0,0
Protosalanx_chinensis,Protosalanx_chinensis,GCA_010882115.1_ASM1088211v1,GCA_010882115.1,2,0,2,0,0,2,0
Poeciliopsis_occidentalis,Poeciliopsis_occidentalis,GCA_010883035.1_ASM1088303v1,GCA_010883035.1,1,0,1,0,0,1,0
Limnodynastes_dumerilii,Limnodynastes_dumerilii,GCA_011038615.1_BGI_Ldum_1.0,GCA_011038615.1,129,7,136,3,28,53,22
Pterocles_orientalis,Pterocles_orientalis,GCA_011057875.1_REN_Porient_1.0,GCA_011057875.1,1,0,1,0,0,2,0
Melospiza_melodia_maxima,Melospiza_melodia_maxima,GCA_011057915.1_Mmel_1.0,GCA_011057915.1,4,0,4,0,9,0,0
Melanerpes_aurifrons,Melanerpes_aurifrons,GCA_011125475.1_OU_Melaur_1,GCA_011125475.1,4,0,4,0,0,14,0
Cynomys_gunnisoni,Cynomys_gunnisoni,GCA_011316645.1_ASM1131664v1,GCA_011316645.1,23,2,25,0,1,19,0
Eupsittula_pertinax,Eupsittula_pertinax,GCA_011317185.1_ASM1131718v1,GCA_011317185.1,2,0,2,0,0,0,0
Clarias_macrocephalus,Clarias_macrocephalus,GCA_011419295.1_DU_Cmac_1.0,GCA_011419295.1,4,0,4,0,0,0,0
Gymnobelideus_leadbeateri,Gymnobelideus_leadbeateri,GCA_011680675.1_LBP_v1,GCA_011680675.1,35,0,35,0,0,24,1
Aeorestes_cinereus,Aeorestes_cinereus,GCA_011751065.1_L.cinereus_Cryan_1219_p1.0,GCA_011751065.1,18,1,19,0,0,6,0
Pontoporia_blainvillei,Pontoporia_blainvillei,GCA_011754075.1_ASM1175407v1,GCA_011754075.1,0,0,0,0,1,9,1
Pionus_senilis,Pionus_senilis,GCA_011762725.1_ASM1176272v1,GCA_011762725.1,1,0,1,0,1,1,0
Pyrrhura_molinae,Pyrrhura_molinae,GCA_011763355.1_ASM1176335v1,GCA_011763355.1,1,0,1,0,0,1,0
Pyrrhura_perlata,Pyrrhura_perlata,GCA_011763455.2_ASM1176345v2,GCA_011763455.2,1,1,2,0,0,0,0
Lythrypnus_dalli,Lythrypnus_dalli,GCA_011763505.1_ASM1176350v1,GCA_011763505.1,1,0,1,0,8,1,1
Mormyrus_iriodes,Mormyrus_iriodes,GCA_011763525.1_ASM1176352v1,GCA_011763525.1,3,1,4,0,0,0,0
Eclectus_roratus,Eclectus_roratus,GCA_011763535.2_ASM1176353v2,GCA_011763535.2,1,0,1,0,0,1,0
Mustela_putorius_furo,Mustela_putorius_furo,GCA_011764305.2_ASM1176430v1.1,GCA_011764305.2,15,1,16,0,0,11,1
Guaruba_guarouba,Guaruba_guarouba,GCA_011800095.2_ASM1180009v2,GCA_011800095.2,2,0,2,0,0,0,0
Mirounga_leonina,Mirounga_leonina,GCA_011800145.1_KU_Mleo_1.0,GCA_011800145.1,4,2,6,0,0,17,2
Ardeotis_arabs,Ardeotis_arabs,GCA_011801015.1_REN_Aarabs_1.0,GCA_011801015.1,5,0,5,0,0,0,0
Dissostichus_mawsoni,Dissostichus_mawsoni,GCA_011823955.1_KU_Dm_1.0,GCA_011823955.1,3,1,4,0,0,0,0
Hydrolagus_affinis,Hydrolagus_affinis,GCA_012026655.1_UP_Haf,GCA_012026655.1,0,0,0,0,0,0,0
Aquila_chrysaetos_japonica,Aquila_chrysaetos_japonica,GCA_012057345.1_Achrysaetos_1.0,GCA_012057345.1,2,0,2,0,0,1,0
Fukomys_damarensis,Fukomys_damarensis,GCA_012274545.1_DMR_v1.0_HiC,GCA_012274545.1,21,1,22,0,0,10,1
Halichoerus_grypus,Halichoerus_grypus,GCA_012393455.1_Tufts_HGry_1.1,GCA_012393455.1,9,1,10,0,0,18,1
Nisaetus_nipalensis,Nisaetus_nipalensis,GCA_012487455.1_Nnipalensis_1.0,GCA_012487455.1,2,0,2,0,0,1,0
Grus_monacha,Grus_monacha,GCA_012487855.1_Gmonacha_1.0,GCA_012487855.1,3,0,3,0,0,0,0
Antigone_vipio,Antigone_vipio,GCA_012488435.1_Gvipio_1.0,GCA_012488435.1,3,0,3,0,0,0,0
Martes_zibellina,Martes_zibellina,GCA_012583365.1_ASM1258336v1,GCA_012583365.1,15,0,15,0,1,10,1
Ptyas_mucosa,Ptyas_mucosa,GCA_012654045.1_UNIGE_Pmuc_v1.0,GCA_012654045.1,2,0,2,0,0,0,0
Pantherophis_obsoletus,Pantherophis_obsoletus,GCA_012654085.1_UNIGE_PanObs_1.0,GCA_012654085.1,2,0,2,0,0,0,0
Trematomus_loennbergii,Trematomus_loennbergii,GCA_012861695.1_KUTl01,GCA_012861695.1,1,2,3,0,0,2,0
Capreolus_pygargus,Capreolus_pygargus,GCA_012922965.1_ASM1292296v1,GCA_012922965.1,18,3,21,0,1,15,0
Labeo_catla,Labeo_catla,GCA_012976165.1_CIFA_Catla_1.0,GCA_012976165.1,4,0,4,0,0,2,0
Acipenser_oxyrinchus_oxyrinchus,Acipenser_oxyrinchus_oxyrinchus,GCA_013184475.1_ASM1318447v1,GCA_013184475.1,5,0,5,0,3,1,1
Turdus_rufiventris,Turdus_rufiventris,GCA_013186435.1_ASM1318643v1,GCA_013186435.1,2,0,2,0,0,0,0
Lama_glama_chaku,Lama_glama_chaku,GCA_013239585.1_ASM1323958v1,GCA_013239585.1,12,1,13,0,0,7,0
Lama_guanicoe_cacsilensis,Lama_guanicoe_cacsilensis,GCA_013239625.1_ASM1323962v1,GCA_013239625.1,12,1,13,0,0,7,0
Vicugna_vicugna_mensalis,Vicugna_vicugna_mensalis,GCA_013265495.1_ASM1326549v1,GCA_013265495.1,12,1,13,0,0,7,0
Menidia_beryllina,Menidia_beryllina,GCA_013363375.1_ASM1336337v1,GCA_013363375.1,3,0,3,0,0,0,0
Fulica_atra,Fulica_atra,GCA_013372525.1_Fatr_1.0,GCA_013372525.1,2,0,2,0,0,0,0
Percina_caprodes,Percina_caprodes,GCA_013375575.1_MU_Pcap_1.0,GCA_013375575.1,1,0,1,0,0,2,0
Cygnus_atratus,Cygnus_atratus,GCA_013377495.1_Cygnus_atratus_primary_v1.0,GCA_013377495.1,3,0,3,0,0,0,0
Crypturellus_undulatus,Crypturellus_undulatus,GCA_013389825.1_ASM1338982v1,GCA_013389825.1,2,0,2,0,0,0,0
Crypturellus_soui,Crypturellus_soui,GCA_013389845.1_ASM1338984v1,GCA_013389845.1,2,0,2,0,0,0,0
Piaya_cayana,Piaya_cayana,GCA_013389865.1_ASM1338986v1,GCA_013389865.1,1,0,1,0,6,0,0
Geococcyx_californianus,Geococcyx_californianus,GCA_013389885.1_ASM1338988v1,GCA_013389885.1,1,0,1,2,4,0,0
Sula_dactylatra,Sula_dactylatra,GCA_013389905.1_ASM1338990v1,GCA_013389905.1,1,0,1,0,0,2,0
Aegithalos_caudatus,Aegithalos_caudatus,GCA_013389925.1_ASM1338992v1,GCA_013389925.1,1,2,3,2,1,0,0
Fregata_magnificens,Fregata_magnificens,GCA_013389945.1_ASM1338994v1,GCA_013389945.1,2,0,2,0,0,0,0
Todus_mexicanus,Todus_mexicanus,GCA_013389965.1_ASM1338996v1,GCA_013389965.1,2,0,2,1,2,0,0
Dryoscopus_gambensis,Dryoscopus_gambensis,GCA_013389985.1_ASM1338998v1,GCA_013389985.1,5,2,7,0,4,0,0
Calyptomena_viridis,Calyptomena_viridis,GCA_013390005.1_ASM1339000v1,GCA_013390005.1,6,0,6,1,0,2,0
Pitta_sordida,Pitta_sordida,GCA_013390025.1_ASM1339002v1,GCA_013390025.1,9,0,9,6,2,1,0
Picathartes_gymnocephalus,Picathartes_gymnocephalus,GCA_013390045.1_ASM1339004v1,GCA_013390045.1,6,2,8,0,2,0,0
Chloropsis_hardwickii,Chloropsis_hardwickii,GCA_013390065.1_ASM1339006v1,GCA_013390065.1,1,1,2,2,3,0,0
Grus_americana,Grus_americana,GCA_013390085.1_ASM1339008v1,GCA_013390085.1,3,0,3,0,0,0,0
Tichodroma_muraria,Tichodroma_muraria,GCA_013390105.1_ASM1339010v1,GCA_013390105.1,1,0,1,0,7,1,0
Hydrodamalis_gigas,Hydrodamalis_gigas,GCA_013391785.1_H_Gigas_1.0,GCA_013391785.1,2,4,6,2,14,13,4
Menura_novaehollandiae,Menura_novaehollandiae,GCA_013396355.1_ASM1339635v1,GCA_013396355.1,7,1,8,1,1,0,0
Cochlearius_cochlearius,Cochlearius_cochlearius,GCA_013396365.1_ASM1339636v1,GCA_013396365.1,2,0,2,0,0,0,0
Ardeotis_kori,Ardeotis_kori,GCA_013396375.1_ASM1339637v1,GCA_013396375.1,4,0,4,0,0,0,0
Anhinga_anhinga,Anhinga_anhinga,GCA_013396435.1_ASM1339643v1,GCA_013396435.1,1,0,1,0,0,1,0
Lophotis_ruficrista,Lophotis_ruficrista,GCA_013396455.1_ASM1339645v1,GCA_013396455.1,2,0,2,1,0,0,0
Smithornis_capensis,Smithornis_capensis,GCA_013396465.1_ASM1339646v1,GCA_013396465.1,5,0,5,2,6,3,0
Ptilorrhoa_leucosticta,Ptilorrhoa_leucosticta,GCA_013396485.1_ASM1339648v1,GCA_013396485.1,4,0,4,2,2,0,0
Chunga_burmeisteri,Chunga_burmeisteri,GCA_013396505.1_ASM1339650v1,GCA_013396505.1,2,0,2,0,0,2,0
Chaetorhynchus_papuensis,Chaetorhynchus_papuensis,GCA_013396525.1_ASM1339652v1,GCA_013396525.1,3,0,3,1,4,0,0
Tachuris_rubrigastra,Tachuris_rubrigastra,GCA_013396555.1_ASM1339655v1,GCA_013396555.1,3,0,3,0,3,2,1
Rhodinocichla_rosea,Rhodinocichla_rosea,GCA_013396575.1_ASM1339657v1,GCA_013396575.1,5,1,6,0,0,1,0
Nyctibius_bracteatus,Nyctibius_bracteatus,GCA_013396595.1_ASM1339659v1,GCA_013396595.1,1,0,1,0,0,1,0
Oceanites_oceanicus,Oceanites_oceanicus,GCA_013396615.1_ASM1339661v1,GCA_013396615.1,2,0,2,0,0,1,0
Penelope_pileata,Penelope_pileata,GCA_013396635.1_ASM1339663v1,GCA_013396635.1,3,0,3,0,0,1,0
Campylorhamphus_procurvoides,Campylorhamphus_procurvoides,GCA_013396655.1_ASM1339665v1,GCA_013396655.1,3,0,3,0,1,0,0
Eubucco_bourcierii,Eubucco_bourcierii,GCA_013396675.1_ASM1339667v1,GCA_013396675.1,4,1,5,0,0,1,0
Sakesphorus_luctuosus,Sakesphorus_luctuosus,GCA_013396695.1_ASM1339669v1,GCA_013396695.1,11,1,12,1,5,5,0
Ciccaba_nigrolineata,Ciccaba_nigrolineata,GCA_013396715.1_ASM1339671v1,GCA_013396715.1,3,0,3,0,0,0,0
Grallaria_varia,Grallaria_varia,GCA_013396735.1_ASM1339673v1,GCA_013396735.1,6,1,7,0,0,3,0
Sclerurus_mexicanus,Sclerurus_mexicanus,GCA_013396755.1_ASM1339675v1,GCA_013396755.1,6,0,6,2,1,0,0
Cephalopterus_ornatus,Cephalopterus_ornatus,GCA_013396775.1_ASM1339677v1,GCA_013396775.1,2,0,2,0,9,0,0
Corythaeola_cristata,Corythaeola_cristata,GCA_013396815.1_ASM1339681v1,GCA_013396815.1,2,1,3,0,0,0,0
Psilopogon_haemacephalus,Psilopogon_haemacephalus,GCA_013396835.1_ASM1339683v1,GCA_013396835.1,4,0,4,0,0,1,1
Vireo_altiloquus,Vireo_altiloquus,GCA_013396875.1_ASM1339687v1,GCA_013396875.1,7,2,9,0,2,0,0
Loxia_leucoptera,Loxia_leucoptera,GCA_013396895.1_ASM1339689v1,GCA_013396895.1,2,2,4,1,1,0,1
Stercorarius_parasiticus,Stercorarius_parasiticus,GCA_013396915.1_ASM1339691v1,GCA_013396915.1,3,0,3,0,0,0,0
Baryphthengus_martii,Baryphthengus_martii,GCA_013396935.1_ASM1339693v1,GCA_013396935.1,2,0,2,1,3,0,1
Regulus_satrapa,Regulus_satrapa,GCA_013396955.1_ASM1339695v1,GCA_013396955.1,1,0,1,0,3,1,0
Bucco_capensis,Bucco_capensis,GCA_013396975.1_ASM1339697v1,GCA_013396975.1,5,0,5,0,1,0,0
Dicaeum_eximium,Dicaeum_eximium,GCA_013396995.1_ASM1339699v1,GCA_013396995.1,2,1,3,2,2,5,0
Myiagra_hebetior,Myiagra_hebetior,GCA_013397015.1_ASM1339701v1,GCA_013397015.1,6,1,7,1,3,1,0
Oceanodroma_tethys,Oceanodroma_tethys,GCA_013397025.1_ASM1339702v1,GCA_013397025.1,2,0,2,0,0,1,0
Pachycephala_philippinensis,Pachycephala_philippinensis,GCA_013397055.1_ASM1339705v1,GCA_013397055.1,7,2,9,0,2,0,0
Rhabdornis_inornatus,Rhabdornis_inornatus,GCA_013397075.1_ASM1339707v1,GCA_013397075.1,5,1,6,0,1,0,0
Sterrhoptilus_dennistouni,Sterrhoptilus_dennistouni,GCA_013397095.1_ASM1339709v1,GCA_013397095.1,7,2,9,3,3,0,0
Edolisoma_coerulescens,Edolisoma_coerulescens,GCA_013397115.1_ASM1339711v1,GCA_013397115.1,6,0,6,1,0,0,0
Pachyramphus_minor,Pachyramphus_minor,GCA_013397135.1_ASM1339713v1,GCA_013397135.1,6,0,6,0,1,0,0
Irena_cyanogastra,Irena_cyanogastra,GCA_013397155.1_ASM1339715v1,GCA_013397155.1,2,1,3,3,4,2,0
Platysteira_castanea,Platysteira_castanea,GCA_013397175.1_ASM1339717v1,GCA_013397175.1,3,0,3,1,5,0,0
Hylia_prasina,Hylia_prasina,GCA_013397195.1_ASM1339719v1,GCA_013397195.1,3,2,5,1,4,1,0
Lanius_ludovicianus,Lanius_ludovicianus,GCA_013397235.1_ASM1339723v1,GCA_013397235.1,7,1,8,0,4,1,0
Thryothorus_ludovicianus,Thryothorus_ludovicianus,GCA_013397245.1_ASM1339724v1,GCA_013397245.1,3,1,4,0,3,1,0
Burhinus_bistriatus,Burhinus_bistriatus,GCA_013397275.1_ASM1339727v1,GCA_013397275.1,3,0,3,0,0,0,0
Polioptila_caerulea,Polioptila_caerulea,GCA_013397295.1_ASM1339729v1,GCA_013397295.1,4,0,4,0,3,1,0
Donacobius_atricapilla,Donacobius_atricapilla,GCA_013397315.1_ASM1339731v1,GCA_013397315.1,4,1,5,1,3,0,0
Motacilla_alba,Motacilla_alba,GCA_013397355.1_ASM1339735v1,GCA_013397355.1,3,2,5,5,1,1,0
Toxostoma_redivivum,Toxostoma_redivivum,GCA_013397375.1_ASM1339737v1,GCA_013397375.1,3,1,4,1,5,0,0
Sinosuthora_webbiana,Sinosuthora_webbiana,GCA_013397395.1_ASM1339739v1,GCA_013397395.1,7,1,8,0,6,0,0
Neopipo_cinnamomea,Neopipo_cinnamomea,GCA_013397415.1_ASM1339741v1,GCA_013397415.1,6,0,6,0,0,1,1
Erythrocercus_mccallii,Erythrocercus_mccallii,GCA_013397435.1_ASM1339743v1,GCA_013397435.1,1,1,2,2,4,0,0
Crotophaga_sulcirostris,Crotophaga_sulcirostris,GCA_013397455.1_ASM1339745v1,GCA_013397455.1,3,0,3,0,3,0,0
Furnarius_figulus,Furnarius_figulus,GCA_013397465.1_ASM1339746v1,GCA_013397465.1,3,1,4,1,1,0,0
Mionectes_macconnelli,Mionectes_macconnelli,GCA_013397495.1_ASM1339749v1,GCA_013397495.1,8,0,8,0,2,0,0
Upupa_epops,Upupa_epops,GCA_013397515.1_ASM1339751v1,GCA_013397515.1,2,0,2,2,2,0,0
Pterocles_burchelli,Pterocles_burchelli,GCA_013397535.1_ASM1339753v1,GCA_013397535.1,1,0,1,0,0,2,0
Urocynchramus_pylzowi,Urocynchramus_pylzowi,GCA_013397555.1_ASM1339755v1,GCA_013397555.1,3,4,7,0,3,0,0
Ptilonorhynchus_violaceus,Ptilonorhynchus_violaceus,GCA_013397565.1_ASM1339756v1,GCA_013397565.1,5,0,5,0,3,1,0
Halcyon_senegalensis,Halcyon_senegalensis,GCA_013397595.1_ASM1339759v1,GCA_013397595.1,2,0,2,0,0,0,0
Eolophus_roseicapilla,Eolophus_roseicapilla,GCA_013397615.1_ASM1339761v1,GCA_013397615.1,1,0,1,0,0,1,0
Columbina_picui,Columbina_picui,GCA_013397635.1_ASM1339763v1,GCA_013397635.1,1,0,1,0,0,1,0
Chroicocephalus_maculipennis,Chroicocephalus_maculipennis,GCA_013397655.1_ASM1339765v1,GCA_013397655.1,2,0,2,0,0,0,0
Probosciger_aterrimus,Probosciger_aterrimus,GCA_013397665.1_ASM1339766v1,GCA_013397665.1,1,0,1,0,0,1,0
Centropus_unirufus,Centropus_unirufus,GCA_013397695.1_ASM1339769v1,GCA_013397695.1,2,1,3,1,1,1,0
Calcarius_ornatus,Calcarius_ornatus,GCA_013397715.1_ASM1339771v1,GCA_013397715.1,4,0,4,3,3,1,0
Rhagologus_leucostigma,Rhagologus_leucostigma,GCA_013397725.1_ASM1339772v1,GCA_013397725.1,4,1,5,1,1,1,0
Cnemophilus_loriae,Cnemophilus_loriae,GCA_013397755.1_ASM1339775v1,GCA_013397755.1,5,0,5,0,1,0,1
Eulacestoma_nigropectus,Eulacestoma_nigropectus,GCA_013397775.1_ASM1339777v1,GCA_013397775.1,1,0,1,2,0,1,0
Orthonyx_spaldingii,Orthonyx_spaldingii,GCA_013397795.1_ASM1339779v1,GCA_013397795.1,6,0,6,0,5,1,1
Aleadryas_rufinucha,Aleadryas_rufinucha,GCA_013397815.1_ASM1339781v1,GCA_013397815.1,3,0,3,2,2,1,0
Onychorhynchus_coronatus,Onychorhynchus_coronatus,GCA_013397825.1_ASM1339782v1,GCA_013397825.1,3,2,5,1,1,0,0
Melanocharis_versteri,Melanocharis_versteri,GCA_013397845.1_ASM1339784v1,GCA_013397845.1,3,0,3,1,1,0,0
Struthidea_cinerea,Struthidea_cinerea,GCA_013397865.1_ASM1339786v1,GCA_013397865.1,8,1,9,0,0,1,0
Origma_solitaria,Origma_solitaria,GCA_013397895.1_ASM1339789v1,GCA_013397895.1,10,0,10,0,0,2,0
Daphoenositta_chrysoptera,Daphoenositta_chrysoptera,GCA_013397915.1_ASM1339791v1,GCA_013397915.1,6,0,6,1,4,0,0
Dasyornis_broadbenti,Dasyornis_broadbenti,GCA_013397935.1_ASM1339793v1,GCA_013397935.1,8,1,9,1,1,3,0
Grantiella_picta,Grantiella_picta,GCA_013397955.1_ASM1339795v1,GCA_013397955.1,8,0,8,4,0,1,0
Machaerirhynchus_nigripectus,Machaerirhynchus_nigripectus,GCA_013397975.1_ASM1339797v1,GCA_013397975.1,6,1,7,1,2,0,0
Malurus_elegans,Malurus_elegans,GCA_013397995.1_ASM1339799v1,GCA_013397995.1,9,0,9,2,2,2,0
Oreocharis_arfaki,Oreocharis_arfaki,GCA_013398015.1_ASM1339801v1,GCA_013398015.1,6,1,7,0,1,0,0
Panurus_biarmicus,Panurus_biarmicus,GCA_013398035.1_ASM1339803v1,GCA_013398035.1,7,0,7,2,0,1,0
Ifrita_kowaldi,Ifrita_kowaldi,GCA_013398055.1_ASM1339805v1,GCA_013398055.1,3,1,4,1,4,1,2
Notiomystis_cincta,Notiomystis_cincta,GCA_013398075.1_ASM1339807v1,GCA_013398075.1,4,0,4,0,3,1,0
Rhynochetos_jubatus,Rhynochetos_jubatus,GCA_013398095.1_ASM1339809v1,GCA_013398095.1,2,0,2,0,0,0,0
Falcunculus_frontatus,Falcunculus_frontatus,GCA_013398115.1_ASM1339811v1,GCA_013398115.1,5,1,6,1,5,0,0
Aegotheles_bennettii,Aegotheles_bennettii,GCA_013398125.1_ASM1339812v1,GCA_013398125.1,1,0,1,0,3,0,0
Pedionomus_torquatus,Pedionomus_torquatus,GCA_013398155.1_ASM1339815v1,GCA_013398155.1,3,0,3,0,1,0,0
Climacteris_rufus,Climacteris_rufus,GCA_013398175.1_ASM1339817v1,GCA_013398175.1,8,1,9,1,2,0,0
Caloenas_nicobarica,Caloenas_nicobarica,GCA_013398195.1_ASM1339819v1,GCA_013398195.1,1,0,1,0,0,1,0
Steatornis_caripensis,Steatornis_caripensis,GCA_013398225.1_ASM1339822v1,GCA_013398225.1,2,0,2,0,0,0,0
Promerops_cafer,Promerops_cafer,GCA_013398275.1_ASM1339827v1,GCA_013398275.1,6,1,7,0,2,0,0
Chionis_minor,Chionis_minor,GCA_013398295.1_ASM1339829v1,GCA_013398295.1,2,0,2,0,0,1,0
Nothoprocta_pentlandii,Nothoprocta_pentlandii,GCA_013398315.1_ASM1339831v1,GCA_013398315.1,1,0,1,0,0,1,1
Nothoprocta_ornata,Nothoprocta_ornata,GCA_013398335.1_ASM1339833v1,GCA_013398335.1,1,0,1,0,0,1,1
Nothocercus_nigrocapillus,Nothocercus_nigrocapillus,GCA_013398345.1_ASM1339834v1,GCA_013398345.1,1,0,1,0,0,1,0
Aphelocoma_coerulescens,Aphelocoma_coerulescens,GCA_013398375.1_ASM1339837v1,GCA_013398375.1,2,2,4,3,4,0,0
Pheucticus_melanocephalus,Pheucticus_melanocephalus,GCA_013398405.1_ASM1339840v1,GCA_013398405.1,3,2,5,0,3,1,0
Loxia_curvirostra,Loxia_curvirostra,GCA_013398455.1_ASM1339845v1,GCA_013398455.1,4,2,6,1,1,0,0
Asarcornis_scutulata,Asarcornis_scutulata,GCA_013398475.1_ASM1339847v1,GCA_013398475.1,3,0,3,0,0,0,0
Vidua_chalybeata,Vidua_chalybeata,GCA_013398495.1_ASM1339849v1,GCA_013398495.1,2,2,4,0,1,3,1
Certhia_familiaris,Certhia_familiaris,GCA_013398575.1_ASM1339857v1,GCA_013398575.1,2,0,2,0,1,0,0
Cercotrichas_coryphoeus,Cercotrichas_coryphoeus,GCA_013398595.1_ASM1339859v1,GCA_013398595.1,4,0,4,0,3,0,0
Brachypodius_atriceps,Brachypodius_atriceps,GCA_013398615.1_ASM1339861v1,GCA_013398615.1,5,1,6,1,0,0,0
Copsychus_sechellarum,Copsychus_sechellarum,GCA_013398635.1_ASM1339863v1,GCA_013398635.1,5,0,5,0,2,0,0
Nesospiza_acunhae,Nesospiza_acunhae,GCA_013398715.1_ASM1339871v1,GCA_013398715.1,3,3,6,0,0,1,0
Nothocercus_julius,Nothocercus_julius,GCA_013398735.1_ASM1339873v1,GCA_013398735.1,2,0,2,0,0,0,0
Sapayoa_aenigma,Sapayoa_aenigma,GCA_013398745.1_ASM1339874v1,GCA_013398745.1,6,0,6,0,1,3,0
Elachura_formosa,Elachura_formosa,GCA_013398795.1_ASM1339879v1,GCA_013398795.1,2,1,3,0,2,0,0
Ibidorhyncha_struthersii,Ibidorhyncha_struthersii,GCA_013398815.1_ASM1339881v1,GCA_013398815.1,3,0,3,0,0,0,0
Emberiza_fucata,Emberiza_fucata,GCA_013398835.1_ASM1339883v1,GCA_013398835.1,2,0,2,3,1,1,0
Mohoua_ochrocephala,Mohoua_ochrocephala,GCA_013398855.1_ASM1339885v1,GCA_013398855.1,2,0,2,2,5,0,0
