chromosome,start,stop,accession
CM036447.1,35248544,37249521,GCA_020615455.1
CM036447.1,39992183,41993148,GCA_020615455.1
CM036466.1,25060307,27061308,GCA_020615455.1
LR778259.1,48274797,50303716,GCA_902810595.1
LR778256.1,64878457,66879404,GCA_902810595.1
LR778260.1,31867843,33868787,GCA_902810595.1
LR778268.1,21283034,23283999,GCA_902810595.1
LR778268.1,26584709,28585686,GCA_902810595.1
CM022476.1,22758592,24759569,GCA_011952105.1
CM022185.2,27753712,29765036,GCA_000738735.6
CM022407.2,108442137,110468899,GCA_000738735.6
CM022185.2,31765801,33766766,GCA_000738735.6
CM036347.1,30977269,32990565,GCA_020740725.1
CM036348.1,5184051,7202788,GCA_020740725.1
CM036347.1,35071881,37072846,GCA_020740725.1
CM018808.1,28527515,30535356,GCA_009650955.1
CM018809.1,5036482,7069335,GCA_009650955.1
CM018808.1,32549215,34550180,GCA_009650955.1
LR131929.1,10839218,12840183,GCA_900634415.1
LR131939.1,3194569,5195546,GCA_900634415.1
CM042218.1,9884570,11885544,GCA_023566465.1
CM042227.1,8177789,10178751,GCA_023566465.1
CM003781.1,169951951,171952886,GCA_001577835.2
CM003783.1,99150140,101151114,GCA_001577835.2
CM042535.1,11040141,13060557,GCA_023630585.1
CM042549.1,12898829,14899803,GCA_023630585.1
CM042569.1,13546708,15547646,GCA_023630585.1
CM023442.1,14258787,16860557,GCA_003668045.2
RAZU02000001.1,186678339,188682283,GCA_003668045.2
RAZU02000001.1,225693482,227944318,GCA_003668045.2
CM023436.1,361227176,363228078,GCA_003668045.2
CM023440.1,121728782,123729678,GCA_003668045.2
RAZU02000001.1,202415077,204416111,GCA_003668045.2
RAZU02000001.1,211748893,213749975,GCA_003668045.2
RAZU02000001.1,227033883,229034914,GCA_003668045.2
CM023148.1,23116056,25122816,GCA_013133815.1
CM023154.1,18477522,20478499,GCA_013133815.1
CM012309.1,101391832,103392716,GCA_003400415.2
CM053559.1,87781115,90898485,GCA_028646485.1
CM053571.1,89309804,91444920,GCA_028646485.1
CM053559.1,13775448,15776362,GCA_028646485.1
CM053572.1,136486080,138486976,GCA_028646485.1
CM034332.1,19320650,21321687,GCA_019924925.1
CM034332.1,30686099,32687076,GCA_019924925.1
CM034333.1,11055318,13056253,GCA_019924925.1
CM030639.1,119099984,121126989,GCA_017976375.1
CM030637.1,18473441,20474388,GCA_017976375.1
CM020122.1,9437176,11438159,GCA_009769545.1
CM020134.1,13025475,15026452,GCA_009769545.1
CM044797.1,100128703,102129647,GCA_013377495.2
CM044797.1,202325245,204326180,GCA_013377495.2
CM044799.1,5324077,7325171,GCA_013377495.2
CM020065.2,100458229,102459173,GCA_009769625.2
CM020065.2,202863094,204864029,GCA_009769625.2
CM020067.2,5369771,7370724,GCA_009769625.2
CM050032.1,13162260,15415104,GCA_027409185.1
CM050032.1,14425954,16604245,GCA_027409185.1
CM050038.1,99715118,102117088,GCA_027409185.1
CM050028.1,7963067,9963963,GCA_027409185.1
CM050032.1,31862799,33863698,GCA_027409185.1
CM050032.1,75140519,77141427,GCA_027409185.1
CM057380.1,151048604,153113936,GCA_030015415.1
CM057393.1,4088893,6798018,GCA_030015415.1
CM057379.1,2164851,4165750,GCA_030015415.1
CM057393.1,16591713,18592618,GCA_030015415.1
CM031268.1,14038037,16039002,GCA_018340385.1
CM031268.1,3003497,5004453,GCA_018340385.1
CM031269.1,12675919,14676827,GCA_018340385.1
CM031293.1,14228591,16229556,GCA_018340385.1
CM031293.1,3422159,5423142,GCA_018340385.1
CM031294.1,17027184,19028107,GCA_018340385.1
CM031294.1,23012133,25013077,GCA_018340385.1
CM055738.1,1778864,3801323,GCA_029465975.1
CM055731.1,16599725,18600654,GCA_029465975.1
LR812495.1,22020188,24024241,GCA_903798145.1
LR812510.1,38804134,40826783,GCA_903798145.1
LR812495.1,46040431,48041405,GCA_903798145.1
LR812510.1,23929525,25930442,GCA_903798145.1
LR812526.1,37888866,39893018,GCA_903798195.1
LR812527.1,46216419,48238789,GCA_903798195.1
LR812526.1,10202677,12203651,GCA_903798195.1
LR812527.1,27972413,29973330,GCA_903798195.1
CM035062.1,32754007,34755002,GCA_020184715.1
CM035063.1,39269278,41285313,GCA_020184715.1
CM035062.1,32756936,34758003,GCA_020184715.1
CM035062.1,7785507,9786481,GCA_020184715.1
CM035063.1,23813294,25814211,GCA_020184715.1
CM045449.1,2262815,4476872,GCA_024666655.1
CM045456.1,21839298,23848385,GCA_024666655.1
CM045449.1,8430776,10431756,GCA_024666655.1
CM037000.1,5228372,7328154,GCA_020854095.1
CM037001.1,97050683,99381016,GCA_020854095.1
CM037001.1,98713781,100865541,GCA_020854095.1
CM036997.1,395055957,397056892,GCA_020854095.1
CM036999.1,149865091,151866029,GCA_020854095.1
CM037001.1,3764992,5766173,GCA_020854095.1
CM051058.1,40239629,42395091,GCA_027789765.1
CM051060.1,128668651,130704100,GCA_027789765.1
CM051061.1,116229846,119839599,GCA_027789765.1
CM051061.1,143309279,145884023,GCA_027789765.1
CM051061.1,150740971,152768384,GCA_027789765.1
CM051063.1,14642971,16695835,GCA_027789765.1
CM051063.1,41216017,43749685,GCA_027789765.1
CM051064.1,116117728,118407084,GCA_027789765.1
CM051064.1,117921182,120160073,GCA_027789765.1
CM051068.1,16961503,19989602,GCA_027789765.1
CM051068.1,19005168,21702036,GCA_027789765.1
CM051068.1,28408145,30422876,GCA_027789765.1
CM051068.1,24310200,26311117,GCA_027789765.1
JAQFWY010000414.1,0,1036548,GCA_027789765.1
JAQFWY010000652.1,0,1018164,GCA_027789765.1
LR535821.1,13066681,15080800,GCA_900700375.2
LR535832.1,15307026,17336174,GCA_900700375.2
LR535823.1,9834401,11835375,GCA_900700375.2
CM019937.2,14475685,16476635,GCA_009764565.4
CM040290.1,176913157,178946638,GCA_022682495.1
CM040293.1,83799306,86687820,GCA_022682495.1
CM040288.1,182976021,184976929,GCA_022682495.1
CM040293.1,22252869,24253771,GCA_022682495.1
CM036948.1,88001675,90142918,GCA_020826845.1
CM036948.1,89478270,91753227,GCA_020826845.1
CM036962.1,48686871,51166421,GCA_020826845.1
CM036948.1,38196426,40197334,GCA_020826845.1
CM036948.1,71957044,73957949,GCA_020826845.1
CM036965.1,53332625,55333524,GCA_020826845.1
CM032352.1,87328707,89339071,GCA_019023105.1
CM032355.1,108721305,110753397,GCA_019023105.1
CM032352.1,83266466,85267470,GCA_019023105.1
CM032355.1,70464731,72465684,GCA_019023105.1
CM027945.2,129798482,131799417,GCA_016128335.2
CM027945.2,5068011,7068946,GCA_016128335.2
CM027947.2,6426861,8427913,GCA_016128335.2
CM033367.1,161704840,163716103,GCA_019393635.1
CM033368.1,487607385,489767731,GCA_019393635.1
CM033369.1,100425252,102891788,GCA_019393635.1
CM033369.1,102412949,104612011,GCA_019393635.1
CM033365.1,350979763,352980695,GCA_019393635.1
CM033369.1,4537341,6538243,GCA_019393635.1
CM025996.1,31624792,33630174,GCA_014839835.1
CM026003.1,9548417,11549352,GCA_014839835.1
CM057465.1,183755319,185817204,GCA_030035585.1
CM057468.1,126037694,128050512,GCA_030035585.1
CM057468.1,127423008,129774828,GCA_030035585.1
CM057460.1,853143,2854042,GCA_030035585.1
CM057468.1,108558266,110559150,GCA_030035585.1
CM050986.1,9392202,11398082,GCA_027744805.2
CM050981.1,20705701,22706684,GCA_027744805.2
LR584050.1,5054849,7055832,GCA_900963305.2
CM053503.1,18600312,20664102,GCA_028627145.1
CM053514.1,67189490,69839742,GCA_028627145.1
CM053501.1,98215603,100216502,GCA_028627145.1
CM053514.1,55578024,57578929,GCA_028627145.1
CM044023.1,68582345,70809699,GCA_024166365.1
CM044027.1,4943836,7713767,GCA_024166365.1
CM044027.1,7678896,9831978,GCA_024166365.1
CM044021.1,1147231,3148127,GCA_024166365.1
CM044027.1,25692534,27693415,GCA_024166365.1
CM044027.1,72178765,74179673,GCA_024166365.1
CM034089.1,21590469,23611346,GCA_019857665.1
CM034091.1,5663964,7687903,GCA_019857665.1
WNTK01000089.1,0,1586213,GCA_019857665.1
WNTK01000146.1,0,1401153,GCA_019857665.1
WNTK01000274.1,0,1238074,GCA_019857665.1
WNTK01000355.1,0,1257628,GCA_019857665.1
WNTK01000487.1,0,1171262,GCA_019857665.1
WNTK01000501.1,0,1163593,GCA_019857665.1
WNTK01000531.1,0,1129394,GCA_019857665.1
WNTK01000577.1,0,1163394,GCA_019857665.1
WNTK01000826.1,0,1128160,GCA_019857665.1
WNTK01000906.1,0,1119553,GCA_019857665.1
WNTK01000954.1,0,1108551,GCA_019857665.1
WNTK01000987.1,0,1059276,GCA_019857665.1
WNTK01001005.1,0,1130877,GCA_019857665.1
WNTK01001115.1,0,1098265,GCA_019857665.1
WNTK01001181.1,0,1102869,GCA_019857665.1
WNTK01001303.1,0,1113918,GCA_019857665.1
WNTK01001579.1,0,1098503,GCA_019857665.1
WNTK01001722.1,0,1066284,GCA_019857665.1
WNTK01001908.1,0,1083389,GCA_019857665.1
WNTK01001922.1,0,1081363,GCA_019857665.1
WNTK01001925.1,0,1052939,GCA_019857665.1
WNTK01001981.1,0,1082842,GCA_019857665.1
WNTK01002042.1,0,1060586,GCA_019857665.1
WNTK01002269.1,0,1074859,GCA_019857665.1
WNTK01002311.1,0,1043454,GCA_019857665.1
WNTK01002387.1,0,1072174,GCA_019857665.1
WNTK01002464.1,0,1057044,GCA_019857665.1
WNTK01002516.1,0,1050394,GCA_019857665.1
WNTK01002590.1,0,1072053,GCA_019857665.1
WNTK01003583.1,0,1051770,GCA_019857665.1
WNTK01004058.1,0,1040952,GCA_019857665.1
WNTK01004655.1,0,1036776,GCA_019857665.1
WNTK01004753.1,0,1041665,GCA_019857665.1
WNTK01006067.1,0,1021141,GCA_019857665.1
WNTK01006898.1,0,1017363,GCA_019857665.1
WNTK01007975.1,0,1015266,GCA_019857665.1
WNTK01009200.1,0,1016232,GCA_019857665.1
CM034086.1,311849105,313850058,GCA_019857665.1
CM034087.1,99091619,101092587,GCA_019857665.1
CM034087.1,208973118,210974086,GCA_019857665.1
CM034089.1,8870134,10871111,GCA_019857665.1
CM034092.1,63584331,65585299,GCA_019857665.1
WNTK01000387.1,0,1151238,GCA_019857665.1
WNTK01000582.1,0,1145357,GCA_019857665.1
WNTK01000896.1,0,1139752,GCA_019857665.1
WNTK01001131.1,0,1066381,GCA_019857665.1
WNTK01001326.1,0,1009260,GCA_019857665.1
WNTK01001575.1,0,1036667,GCA_019857665.1
WNTK01001661.1,0,1075029,GCA_019857665.1
WNTK01002207.1,0,1033461,GCA_019857665.1
WNTK01002335.1,0,1003287,GCA_019857665.1
WNTK01002743.1,0,1015811,GCA_019857665.1
WNTK01002784.1,0,1064396,GCA_019857665.1
WNTK01002849.1,0,1029745,GCA_019857665.1
WNTK01002884.1,0,1039014,GCA_019857665.1
WNTK01002892.1,0,1062840,GCA_019857665.1
WNTK01002915.1,0,1027102,GCA_019857665.1
WNTK01002926.1,0,1016228,GCA_019857665.1
WNTK01003047.1,0,1052682,GCA_019857665.1
WNTK01003057.1,0,1050435,GCA_019857665.1
WNTK01003118.1,0,1028690,GCA_019857665.1
WNTK01003221.1,0,1012256,GCA_019857665.1
WNTK01003228.1,0,1006666,GCA_019857665.1
WNTK01003250.1,0,1054267,GCA_019857665.1
WNTK01003400.1,0,1022522,GCA_019857665.1
WNTK01003608.1,0,1049814,GCA_019857665.1
WNTK01003632.1,0,1032841,GCA_019857665.1
WNTK01003773.1,0,1042035,GCA_019857665.1
WNTK01003886.1,0,1031146,GCA_019857665.1
WNTK01004338.1,0,1015779,GCA_019857665.1
WNTK01004372.1,0,1004106,GCA_019857665.1
WNTK01004536.1,0,1032335,GCA_019857665.1
WNTK01004703.1,0,1041828,GCA_019857665.1
WNTK01004787.1,0,1021784,GCA_019857665.1
WNTK01004810.1,0,1009486,GCA_019857665.1
WNTK01004906.1,0,1001383,GCA_019857665.1
WNTK01005413.1,0,1001345,GCA_019857665.1
WNTK01005548.1,0,1006453,GCA_019857665.1
WNTK01005745.1,0,1028123,GCA_019857665.1
WNTK01005907.1,0,1011748,GCA_019857665.1
WNTK01005941.1,0,1031470,GCA_019857665.1
WNTK01006178.1,0,1024662,GCA_019857665.1
WNTK01006652.1,0,1009574,GCA_019857665.1
WNTK01006831.1,0,1003996,GCA_019857665.1
WNTK01007220.1,0,1004557,GCA_019857665.1
WNTK01007229.1,0,1009978,GCA_019857665.1
WNTK01007498.1,0,1019267,GCA_019857665.1
WNTK01007806.1,0,1014288,GCA_019857665.1
WNTK01008080.1,0,1014112,GCA_019857665.1
WNTK01008734.1,0,1002601,GCA_019857665.1
WNTK01009281.1,0,1013180,GCA_019857665.1
WNTK01009307.1,0,1012596,GCA_019857665.1
WNTK01009322.1,0,1017889,GCA_019857665.1
WNTK01010040.1,0,1010685,GCA_019857665.1
WNTK01010361.1,0,1009344,GCA_019857665.1
WNTK01010878.1,0,1008999,GCA_019857665.1
WNTK01011260.1,0,1015132,GCA_019857665.1
WNTK01011735.1,0,1007175,GCA_019857665.1
WNTK01012161.1,0,1007566,GCA_019857665.1
WNTK01013012.1,0,1012857,GCA_019857665.1
WNTK01013081.1,0,1003096,GCA_019857665.1
WNTK01013342.1,0,1010956,GCA_019857665.1
WNTK01013444.1,0,1009566,GCA_019857665.1
WNTK01014310.1,0,1007136,GCA_019857665.1
WNTK01015128.1,0,1007447,GCA_019857665.1
WNTK01015483.1,0,1010399,GCA_019857665.1
WNTK01015830.1,0,1006103,GCA_019857665.1
WNTK01016859.1,0,1009806,GCA_019857665.1
WNTK01016934.1,0,1001823,GCA_019857665.1
WNTK01017187.1,0,1003137,GCA_019857665.1
WNTK01020426.1,0,1001382,GCA_019857665.1
WNTK01020484.1,0,1003800,GCA_019857665.1
WNTK01024859.1,0,1005424,GCA_019857665.1
WNTK01031978.1,0,1003351,GCA_019857665.1
WNTK01035890.1,0,1001203,GCA_019857665.1
WNTK01045880.1,0,1001519,GCA_019857665.1
WNTK01054667.1,0,1000953,GCA_019857665.1
WNTK01085462.1,0,1000910,GCA_019857665.1
CM051432.1,39276752,41337225,GCA_028017835.1
CM051432.1,140993673,143597788,GCA_028017835.1
CM051430.1,148772581,150773513,GCA_028017835.1
CM051432.1,16830590,18831546,GCA_028017835.1
CM033641.1,216994430,219151929,GCA_019512145.1
CM033647.1,8636651,10836689,GCA_019512145.1
CM033647.1,10195931,12295995,GCA_019512145.1
WNYA01000075.1,0,1262417,GCA_019512145.1
WNYA01000080.1,0,1023995,GCA_019512145.1
WNYA01000090.1,0,1313048,GCA_019512145.1
WNYA01000269.1,0,1190270,GCA_019512145.1
WNYA01000358.1,0,1177905,GCA_019512145.1
WNYA01000386.1,0,1061171,GCA_019512145.1
WNYA01000400.1,0,1167408,GCA_019512145.1
WNYA01000451.1,0,1154338,GCA_019512145.1
WNYA01000455.1,0,1149182,GCA_019512145.1
WNYA01000589.1,0,1088335,GCA_019512145.1
WNYA01000719.1,0,1110974,GCA_019512145.1
WNYA01000754.1,0,1106160,GCA_019512145.1
WNYA01000923.1,0,1063349,GCA_019512145.1
WNYA01001056.1,0,1073274,GCA_019512145.1
WNYA01001295.1,0,1066632,GCA_019512145.1
WNYA01001926.1,0,1037637,GCA_019512145.1
WNYA01002010.1,0,1040207,GCA_019512145.1
WNYA01002633.1,0,1016910,GCA_019512145.1
WNYA01002677.1,0,1033745,GCA_019512145.1
WNYA01003078.1,0,1023920,GCA_019512145.1
WNYA01004441.1,0,1015051,GCA_019512145.1
WNYA01004988.1,0,1015664,GCA_019512145.1
WNYA01005051.1,0,1014373,GCA_019512145.1
WNYA01007025.1,0,1009437,GCA_019512145.1
CM033641.1,143070289,145071185,GCA_019512145.1
CM033643.1,111342147,113343031,GCA_019512145.1
CM033644.1,168880690,170881613,GCA_019512145.1
CM033651.1,20934261,22935175,GCA_019512145.1
CM033651.1,26861066,28862070,GCA_019512145.1
WNYA01000605.1,0,1117648,GCA_019512145.1
WNYA01001472.1,0,1024753,GCA_019512145.1
WNYA01001473.1,0,1043410,GCA_019512145.1
WNYA01001927.1,0,1018884,GCA_019512145.1
WNYA01001957.1,0,1010437,GCA_019512145.1
WNYA01003132.1,0,1024789,GCA_019512145.1
WNYA01003232.1,0,1018689,GCA_019512145.1
WNYA01003876.1,0,1015584,GCA_019512145.1
WNYA01004770.1,0,1008687,GCA_019512145.1
WNYA01005050.1,0,1012338,GCA_019512145.1
WNYA01005909.1,0,1008671,GCA_019512145.1
WNYA01008569.1,0,1003923,GCA_019512145.1
WNYA01012115.1,0,1001405,GCA_019512145.1
WNYA01012613.1,0,1005670,GCA_019512145.1
WNYA01013303.1,0,1001303,GCA_019512145.1
WNYA01013365.1,0,1003780,GCA_019512145.1
WNYA01013758.1,0,1005105,GCA_019512145.1
WNYA01013834.1,0,1005164,GCA_019512145.1
WNYA01013859.1,0,1002622,GCA_019512145.1
WNYA01016017.1,0,1003535,GCA_019512145.1
WNYA01016672.1,0,1001314,GCA_019512145.1
WNYA01016845.1,0,1004355,GCA_019512145.1
WNYA01017106.1,0,1004328,GCA_019512145.1
WNYA01018006.1,0,1001362,GCA_019512145.1
WNYA01018354.1,0,1001597,GCA_019512145.1
WNYA01018432.1,0,1002060,GCA_019512145.1
WNYA01022225.1,0,1003672,GCA_019512145.1
WNYA01023672.1,0,1001253,GCA_019512145.1
WNYA01024565.1,0,1001568,GCA_019512145.1
WNYA01029208.1,0,1001339,GCA_019512145.1
WNYA01031775.1,0,1002479,GCA_019512145.1
WNYA01033205.1,0,1001643,GCA_019512145.1
WNYA01036212.1,0,1002184,GCA_019512145.1
WNYA01038552.1,0,1001061,GCA_019512145.1
WNYA01039276.1,0,1001844,GCA_019512145.1
WNYA01039437.1,0,1001749,GCA_019512145.1
WNYA01043111.1,0,1001691,GCA_019512145.1
WNYA01043828.1,0,1001455,GCA_019512145.1
WNYA01044102.1,0,1002225,GCA_019512145.1
WNYA01045878.1,0,1001086,GCA_019512145.1
WNYA01051276.1,0,1001173,GCA_019512145.1
WNYA01054467.1,0,1001006,GCA_019512145.1
WNYA01056122.1,0,1001042,GCA_019512145.1
WNYA01057362.1,0,1001698,GCA_019512145.1
WNYA01060536.1,0,1001148,GCA_019512145.1
WNYA01078539.1,0,1001913,GCA_019512145.1
WNYA01086151.1,0,1001678,GCA_019512145.1
CM048927.1,15901577,17908549,GCA_026686955.1
CM048921.1,12345265,14346242,GCA_026686955.1
AP022687.1,16175221,18182115,GCA_011397635.1
AP022680.1,12864703,14865680,GCA_011397635.1
CM016522.1,25689351,27690304,GCA_005281545.1
CM016523.1,32274455,34275432,GCA_005281545.1
CM016907.1,24482720,26483670,GCA_006386435.1
CM016908.1,11482531,13483508,GCA_006386435.1
CM050734.1,83611462,85752681,GCA_027574615.1
CM050741.1,50362720,53557157,GCA_027574615.1
CM050741.1,66591566,68744416,GCA_027574615.1
CM050731.1,99991682,101992581,GCA_027574615.1
CM050741.1,19694140,21695051,GCA_027574615.1
OX621285.1,21865769,24026001,GCA_951640355.1
OX621291.1,49908323,53070432,GCA_951640355.1
OX621291.1,65902265,68057521,GCA_951640355.1
OX621281.1,102024822,104025721,GCA_951640355.1
OX621291.1,19564279,21565190,GCA_951640355.1
CM027690.2,4616351,6910166,GCA_016077325.2
CM027697.2,0,2136143,GCA_016077325.2
CM027690.2,22095480,24096385,GCA_016077325.2
CM027690.2,55685398,57686303,GCA_016077325.2
CM027690.2,6632967,8633887,GCA_016077325.2
CM027699.2,81665429,83666328,GCA_016077325.2
CM009151.1,93678830,95685176,GCA_002863925.1
CM009151.1,95400256,97694788,GCA_002863925.1
CM009153.1,38839200,41347641,GCA_002863925.1
CM009151.1,44608330,46609235,GCA_002863925.1
CM009168.1,50132579,52133478,GCA_002863925.1
CM038729.1,45392882,47890519,GCA_021613505.1
CM038736.1,119637662,121924387,GCA_021613505.1
CM038736.1,102763562,104764467,GCA_021613505.1
CM038736.1,118050986,120051906,GCA_021613505.1
CM038736.1,69309604,71310509,GCA_021613505.1
CM038737.1,112336268,114337167,GCA_021613505.1
JAKJSB010004641.1,0,1006271,GCA_021613505.1
JAKJSB010005027.1,0,1006272,GCA_021613505.1
CM051829.1,57195803,59567524,GCA_028451465.1
CM051829.1,58823253,60979271,GCA_028451465.1
CM051831.1,24797517,28110417,GCA_028451465.1
CM051833.1,59186127,61192222,GCA_028451465.1
CM051835.1,53706374,55707273,GCA_028451465.1
CM051835.1,63260222,65261127,GCA_028451465.1
CM057285.1,138076868,140077779,GCA_030012505.1
OX485816.1,48039326,50210573,GCA_950295315.1
OX485818.1,112961919,115221069,GCA_950295315.1
OX485818.1,114453573,116855605,GCA_950295315.1
OX485814.1,13280473,15281411,GCA_950295315.1
LR812103.1,25852616,27900674,GCA_903797595.2
LR812104.1,4510640,6539658,GCA_903797595.2
LR812103.1,29965376,31966341,GCA_903797595.2
LR536447.2,80234298,82235230,GCA_900747795.4
CM051677.1,8364014,10364943,GCA_028021215.1
CM002845.3,36349018,38354993,GCA_000721915.3
CM002836.3,32186684,34187664,GCA_000721915.3
CM002841.3,18747318,20748247,GCA_000721915.3
CM002842.3,31208516,33209439,GCA_000721915.3
CM023110.1,17745950,19746927,GCA_013103735.1
CM057241.1,13720969,15721946,GCA_029931835.1
CM049375.1,14037735,16038712,GCA_026937815.1
CM018439.1,21986868,23987845,GCA_008692095.1
CM053046.1,99764363,101765262,GCA_028564815.1
CM053277.1,25803087,28021881,GCA_028583425.1
CM053279.1,175009113,177018330,GCA_028583425.1
CM053294.1,478169,2493603,GCA_028583425.1
CM053277.1,55434222,57435160,GCA_028583425.1
CM053284.1,140744125,142745156,GCA_028583425.1
CM052868.1,7354067,9481480,GCA_028534055.1
CM052881.1,81011800,83852051,GCA_028534055.1
CM052868.1,5928231,7929142,GCA_028534055.1
CM052869.1,3708118,5709005,GCA_028534055.1
CM052881.1,32529718,34530629,GCA_028534055.1
CM052881.1,68008928,70009833,GCA_028534055.1
JAPYYL010023227.1,0,1001174,GCA_028534055.1
JAPYYL010032376.1,0,1001618,GCA_028534055.1
CM057264.1,11044558,13608063,GCA_029931775.1
CM057270.1,10016169,12118141,GCA_029931775.1
CM057272.1,6455645,8460630,GCA_029931775.1
CM057264.1,13101260,15102378,GCA_029931775.1
CM055850.1,18430956,20434019,GCA_029490765.1
CM055842.1,26625613,28626593,GCA_029490765.1
CM042609.1,91494230,93495180,GCA_023638135.1
CM042610.1,76486388,78487437,GCA_023638135.1
CM042453.1,0,1281162,GCA_023634085.1
CM042454.1,76566511,78567560,GCA_023634085.1
CM030150.1,78841141,80874432,GCA_017639655.1
CM030149.1,0,1302198,GCA_017639655.1
CM042634.1,92341975,94342925,GCA_023634155.1
CM042635.1,13249816,15250865,GCA_023634155.1
CM026670.1,91113392,93114342,GCA_015220075.1
CM026671.1,12594958,14596007,GCA_015220075.1
CM031413.1,155083756,157266668,GCA_018350175.1
CM031418.1,44448810,46612071,GCA_018350175.1
CM031412.1,230775060,232775956,GCA_018350175.1
CM031413.1,104642344,106643270,GCA_018350175.1
CM000701.1,51084766,53250706,GCA_000003115.1
ACBE01534781.1,0,1009791,GCA_000003115.1
ACBE01534820.1,0,1001987,GCA_000003115.1
ACBE01534821.1,0,1003150,GCA_000003115.1
CM000695.1,269432703,271433599,GCA_000003115.1
CM000696.1,161622772,163623698,GCA_000003115.1
CM034422.1,154815888,156994315,GCA_019924945.1
CM034432.1,44118856,46269332,GCA_019924945.1
CM034416.1,231372167,233373063,GCA_019924945.1
CM034422.1,104224433,106225359,GCA_019924945.1
CM034422.1,156025989,158027095,GCA_019924945.1
CM052763.1,145013869,147930705,GCA_028533295.1
CM052767.1,91326324,93476983,GCA_028533295.1
CM052760.1,220531736,222532632,GCA_028533295.1
CM052763.1,96519960,98520886,GCA_028533295.1
CM001991.1,109976344,112001410,GCA_000247815.2
CM001988.1,87243665,89244630,GCA_000247815.2
CM001988.1,90783798,92784718,GCA_000247815.2
CM027209.1,3530666,5550373,GCA_015532645.2
CM027207.1,29540248,31541228,GCA_015532645.2
CM022116.2,30808603,32809664,GCA_011125445.2
CM022121.2,37160229,39161242,GCA_011125445.2
LR633953.1,25422855,27423808,GCA_902167405.1
LR633962.1,11112827,13113810,GCA_902167405.1
CM028482.1,189981034,191981969,GCA_016699485.1
CM028482.1,76763238,78764173,GCA_016699485.1
CM028484.1,108651909,110652874,GCA_016699485.1
CM034013.1,6802717,8803694,GCA_019740435.1
CM029298.1,11865796,13870372,GCA_016920845.1
CM029294.1,13543806,15544777,GCA_016920845.1
BMAF01000006.1,6411339,8412310,GCA_014132575.2
BMAF01000010.1,5988293,7989357,GCA_014132575.2
CM051234.1,427180057,429532417,GCA_027917425.1
CM051235.1,400858718,402934124,GCA_027917425.1
CM051235.1,595548803,598065975,GCA_027917425.1
CM051236.1,1757445,3790358,GCA_027917425.1
CM051237.1,55520477,57561766,GCA_027917425.1
CM051240.1,1609148,3786933,GCA_027917425.1
CM051236.1,3136977,5137924,GCA_027917425.1
CM051240.1,3023003,5023899,GCA_027917425.1
CM051240.1,4387210,6388100,GCA_027917425.1
CM057589.1,12252314,14290717,GCA_030020295.1
CM057592.1,149001140,151021436,GCA_030020295.1
CM057589.1,157635580,159636515,GCA_030020295.1
CM057592.1,152299613,154300536,GCA_030020295.1
CM019902.1,27313630,29350526,GCA_009764595.1
CM019903.1,69418120,71430115,GCA_009764595.1
CM019903.1,107522211,109596566,GCA_009764595.1
CM019902.1,31292576,33293493,GCA_009764595.1
LR699146.1,441155494,443156504,GCA_902459505.2
LR699146.1,447014052,449015044,GCA_902459505.2
LR699150.1,109059228,111060145,GCA_902459505.2
CM029952.1,88883326,91009237,GCA_017591445.1
CM029958.1,11096570,13302092,GCA_017591445.1
CM029958.1,12386695,14540854,GCA_017591445.1
JABCKX010002096.1,11194942,13493789,GCA_017591445.1
JABCKX010002096.1,12529267,14681400,GCA_017591445.1
CM029956.1,97347853,99348752,GCA_017591445.1
CM029958.1,29219059,31220048,GCA_017591445.1
CM029958.1,92683041,94683964,GCA_017591445.1
CM018106.1,190525315,192641670,GCA_013496395.1
CM018112.1,56353051,58505184,GCA_013496395.1
CM018112.1,57540662,59839509,GCA_013496395.1
CM018110.1,49863383,51864282,GCA_013496395.1
CM018112.1,87773353,89774276,GCA_013496395.1
CM038269.2,4609732,6610718,GCA_021462225.2
OX442380.1,30730147,32731064,GCA_949357685.1
OX442383.1,35144476,37145561,GCA_949357685.1
OX442383.1,56106116,58107096,GCA_949357685.1
CM040910.1,27692450,29693367,GCA_023029165.1
CM040928.1,18495712,20496776,GCA_023029165.1
CM040928.1,4103465,6104445,GCA_023029165.1
CM017296.1,216480381,218786417,GCA_007399415.1
CM017296.1,217886152,219963291,GCA_007399415.1
CM017298.1,45945677,47994175,GCA_007399415.1
CM017298.1,149473356,152189441,GCA_007399415.1
CM017296.1,13263159,15264088,GCA_007399415.1
CM017298.1,23318336,25319343,GCA_007399415.1
CM045963.1,75041745,77728438,GCA_025201925.1
CM045963.1,178928985,180970401,GCA_025201925.1
CM045960.1,150246850,152247782,GCA_025201925.1
CM045960.1,151288341,153289279,GCA_025201925.1
CM045960.1,353920094,355921023,GCA_025201925.1
CM045963.1,201570375,203571382,GCA_025201925.1
CM055453.1,149893263,152094501,GCA_029281585.1
CM055453.1,151397105,153696939,GCA_029281585.1
CM055458.1,25210719,27587753,GCA_029281585.1
CM055453.1,131029730,133030605,GCA_029281585.1
CM055453.1,18962642,20963553,GCA_029281585.1
CM055463.1,97052165,99053064,GCA_029281585.1
LR132001.1,8458263,10469471,GCA_900634775.2
LR131997.1,25888225,27889202,GCA_900634775.2
CM028237.1,519794100,521822864,GCA_016433145.1
CM028238.1,513780261,515925917,GCA_016433145.1
